epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
91,0.62324,0.54759,1.077,0.37443,0.32857,0.89069,0.93991,0.91208,0.95967,0.89585,0.005545,0.005545,0.005545
92,0.6241,0.53903,1.07527,0.36999,0.33398,0.88888,0.94652,0.89317,0.95827,0.89814,0.0054955,0.0054955,0.0054955
93,0.61775,0.54116,1.07126,0.36893,0.33259,0.88628,0.93802,0.90457,0.95658,0.89437,0.005446,0.005446,0.005446
94,0.61606,0.53982,1.07176,0.37235,0.33311,0.8889,0.93988,0.90175,0.95826,0.89487,0.0053965,0.0053965,0.0053965
95,0.6011,0.52684,1.06214,0.36569,0.32627,0.88439,0.94374,0.9069,0.95745,0.89787,0.005347,0.005347,0.005347
96,0.61367,0.53032,1.07114,0.36528,0.32661,0.88261,0.9407,0.90505,0.95695,0.89684,0.0052975,0.0052975,0.0052975
97,0.60466,0.52542,1.06731,0.36069,0.32598,0.8787,0.93361,0.90834,0.95708,0.89617,0.005248,0.005248,0.005248
98,0.60927,0.53587,1.07112,0.36518,0.32402,0.88324,0.95094,0.90256,0.9601,0.90032,0.0051985,0.0051985,0.0051985
99,0.59634,0.51898,1.06385,0.35848,0.32449,0.88138,0.94659,0.89929,0.95983,0.89867,0.005149,0.005149,0.005149
100,0.60151,0.52649,1.0683,0.35692,0.32325,0.87897,0.94613,0.90979,0.9614,0.90291,0.0050995,0.0050995,0.0050995
101,0.58704,0.51247,1.05556,0.35729,0.32281,0.88098,0.94585,0.91414,0.96006,0.90242,0.00505,0.00505,0.00505
102,0.59336,0.51463,1.05812,0.35748,0.31929,0.88748,0.93809,0.91869,0.96051,0.90245,0.0050005,0.0050005,0.0050005
103,0.59828,0.52111,1.06428,0.34899,0.31693,0.87536,0.94848,0.91067,0.96243,0.90305,0.004951,0.004951,0.004951
104,0.59295,0.51508,1.06469,0.35283,0.31451,0.87725,0.94547,0.9184,0.96141,0.90323,0.0049015,0.0049015,0.0049015
105,0.58816,0.50994,1.05936,0.35808,0.31438,0.88019,0.94023,0.92255,0.96323,0.90336,0.004852,0.004852,0.004852
106,0.58243,0.50666,1.05944,0.36161,0.31228,0.88319,0.93809,0.9215,0.9632,0.90368,0.0048025,0.0048025,0.0048025
107,0.5924,0.50693,1.06172,0.36183,0.31605,0.88172,0.95533,0.90747,0.96297,0.90333,0.004753,0.004753,0.004753
108,0.56831,0.48714,1.04975,0.35512,0.31684,0.87971,0.94704,0.90936,0.96247,0.9048,0.0047035,0.0047035,0.0047035
109,0.57769,0.50331,1.05549,0.3524,0.32471,0.87905,0.94098,0.90673,0.9604,0.90442,0.004654,0.004654,0.004654
110,0.57376,0.50007,1.05092,0.34917,0.32249,0.87655,0.94747,0.90756,0.9607,0.90561,0.0046045,0.0046045,0.0046045
111,0.58498,0.50626,1.05941,0.34993,0.32027,0.87846,0.93451,0.92092,0.96129,0.90774,0.004555,0.004555,0.004555
112,0.57816,0.49971,1.05419,0.35025,0.31896,0.8801,0.95099,0.9094,0.96248,0.90651,0.0045055,0.0045055,0.0045055
113,0.57956,0.49756,1.05692,0.34965,0.31328,0.88022,0.94941,0.91092,0.96254,0.90684,0.004456,0.004456,0.004456
114,0.57465,0.50112,1.05289,0.34632,0.30779,0.87864,0.94507,0.91243,0.96391,0.90917,0.0044065,0.0044065,0.0044065
115,0.57362,0.49161,1.0553,0.34873,0.31205,0.88021,0.94381,0.9066,0.96386,0.90932,0.004357,0.004357,0.004357
116,0.57105,0.49243,1.05148,0.34829,0.31103,0.88041,0.93772,0.91421,0.96308,0.90858,0.0043075,0.0043075,0.0043075
117,0.57439,0.48929,1.05637,0.34713,0.31257,0.8769,0.94462,0.90942,0.96228,0.90859,0.004258,0.004258,0.004258
118,0.56555,0.48583,1.04965,0.34275,0.31128,0.877,0.93838,0.91614,0.9618,0.90947,0.0042085,0.0042085,0.0042085
119,0.56045,0.48872,1.04736,0.33712,0.31202,0.87477,0.93886,0.91342,0.9622,0.9092,0.004159,0.004159,0.004159
