epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
93,0.73869,0.60045,1.23218,0.44167,0.38121,0.96427,0.92957,0.90014,0.9494,0.86618,0.005446,0.005446,0.005446
94,0.75049,0.60334,1.23901,0.44359,0.38231,0.96465,0.94798,0.89045,0.95172,0.86793,0.0053965,0.0053965,0.0053965
95,0.75109,0.61291,1.23964,0.47222,0.38745,0.97107,0.9429,0.88938,0.9528,0.85893,0.005347,0.005347,0.005347
96,0.74453,0.6003,1.23686,0.46876,0.38759,0.97379,0.94509,0.89144,0.95379,0.86227,0.0052975,0.0052975,0.0052975
97,0.73945,0.59293,1.23367,0.45506,0.37976,0.97009,0.95558,0.89143,0.95449,0.86664,0.005248,0.005248,0.005248
98,0.74406,0.59682,1.23056,0.44773,0.37443,0.96524,0.95183,0.8886,0.95401,0.86869,0.0051985,0.0051985,0.0051985
99,0.74336,0.59954,1.22753,0.43678,0.37384,0.96076,0.95289,0.89151,0.95338,0.8726,0.005149,0.005149,0.005149
100,0.73971,0.59085,1.23148,0.43171,0.37293,0.95412,0.95466,0.88838,0.95562,0.87624,0.0050995,0.0050995,0.0050995
101,0.73872,0.59069,1.22392,0.42422,0.37432,0.95137,0.95265,0.88939,0.95494,0.87642,0.00505,0.00505,0.00505
102,0.73246,0.58325,1.22326,0.4255,0.36842,0.95555,0.94332,0.89347,0.95468,0.87484,0.0050005,0.0050005,0.0050005
103,0.73168,0.58491,1.2216,0.42337,0.36519,0.95267,0.94753,0.89146,0.95345,0.87427,0.004951,0.004951,0.004951
104,0.72634,0.58053,1.21951,0.42239,0.35544,0.95397,0.95673,0.89268,0.95553,0.87825,0.0049015,0.0049015,0.0049015
105,0.72756,0.5787,1.21958,0.42384,0.35964,0.95396,0.95191,0.89716,0.95685,0.87807,0.004852,0.004852,0.004852
106,0.7256,0.57251,1.21949,0.42172,0.36044,0.9504,0.95249,0.89543,0.95845,0.88287,0.0048025,0.0048025,0.0048025
107,0.72042,0.5681,1.21477,0.42259,0.35369,0.95335,0.95347,0.89784,0.95881,0.88249,0.004753,0.004753,0.004753
108,0.72111,0.57246,1.21358,0.4145,0.3559,0.9483,0.95233,0.89373,0.95811,0.88294,0.0047035,0.0047035,0.0047035
109,0.71796,0.56768,1.21382,0.41582,0.35605,0.94964,0.95305,0.89171,0.95866,0.88317,0.004654,0.004654,0.004654
110,0.73164,0.5753,1.22208,0.41638,0.35626,0.95162,0.93274,0.91112,0.95829,0.88222,0.0046045,0.0046045,0.0046045
111,0.71439,0.56563,1.21086,0.41915,0.35403,0.95372,0.95257,0.89824,0.959,0.88377,0.004555,0.004555,0.004555
112,0.71512,0.56365,1.21292,0.41809,0.35722,0.95237,0.95274,0.90036,0.9572,0.88394,0.0045055,0.0045055,0.0045055
113,0.7074,0.55348,1.2053,0.41777,0.3584,0.95218,0.95396,0.89965,0.95764,0.88265,0.004456,0.004456,0.004456
114,0.70803,0.55684,1.20456,0.41619,0.35443,0.9507,0.96023,0.89761,0.95811,0.88252,0.0044065,0.0044065,0.0044065
115,0.70844,0.55105,1.20215,0.41404,0.35346,0.94925,0.95785,0.89225,0.95792,0.88315,0.004357,0.004357,0.004357
116,0.70343,0.55018,1.20641,0.41195,0.35253,0.94915,0.96063,0.88859,0.95746,0.88258,0.0043075,0.0043075,0.0043075
117,0.70417,0.55383,1.1982,0.4095,0.34861,0.94752,0.96257,0.89308,0.95805,0.88349,0.004258,0.004258,0.004258
118,0.69738,0.54731,1.19728,0.40697,0.35099,0.94402,0.95615,0.89445,0.95818,0.88328,0.0042085,0.0042085,0.0042085
119,0.70133,0.5502,1.19791,0.40987,0.35107,0.94766,0.9501,0.89926,0.95751,0.88243,0.004159,0.004159,0.004159
120,0.70584,0.54433,1.20236,0.41097,0.35523,0.94837,0.95898,0.8956,0.95812,0.88183,0.0041095,0.0041095,0.0041095
121,0.69449,0.54255,1.19524,0.41099,0.35598,0.94816,0.95331,0.89846,0.95774,0.88235,0.00406,0.00406,0.00406
122,0.69655,0.54524,1.19511,0.4114,0.35562,0.94926,0.95088,0.8997,0.95925,0.88253,0.0040105,0.0040105,0.0040105
123,0.69346,0.54079,1.19577,0.41075,0.3553,0.94843,0.95241,0.8974,0.9577,0.88178,0.003961,0.003961,0.003961
124,0.68938,0.53089,1.18976,0.41107,0.35724,0.9502,0.95193,0.8945,0.95727,0.88223,0.0039115,0.0039115,0.0039115
125,0.68967,0.53159,1.19267,0.41131,0.35793,0.95113,0.95157,0.89557,0.95798,0.8838,0.003862,0.003862,0.003862
126,0.69271,0.53488,1.19525,0.41045,0.35476,0.95109,0.94512,0.89632,0.95805,0.88421,0.0038125,0.0038125,0.0038125
127,0.69296,0.53158,1.19057,0.4096,0.35446,0.9486,0.93827,0.90294,0.95705,0.88309,0.003763,0.003763,0.003763
128,0.6808,0.52138,1.18283,0.40774,0.35387,0.94766,0.92914,0.91001,0.95737,0.88465,0.0037135,0.0037135,0.0037135
129,0.68622,0.53307,1.18832,0.40661,0.35363,0.94651,0.93055,0.91056,0.95757,0.88419,0.003664,0.003664,0.003664
130,0.67985,0.52199,1.18479,0.40512,0.35158,0.94536,0.94678,0.89512,0.95882,0.88608,0.0036145,0.0036145,0.0036145
131,0.67901,0.51991,1.17893,0.40611,0.35212,0.94617,0.95243,0.89499,0.95921,0.88569,0.003565,0.003565,0.003565
132,0.67952,0.52533,1.18662,0.40415,0.35031,0.94447,0.94908,0.89567,0.95857,0.88446,0.0035155,0.0035155,0.0035155
133,0.68341,0.53258,1.18574,0.40418,0.34813,0.94468,0.93655,0.91346,0.95908,0.8873,0.003466,0.003466,0.003466
134,0.6713,0.51486,1.18019,0.40342,0.348,0.9435,0.94136,0.90872,0.95867,0.887,0.0034165,0.0034165,0.0034165
135,0.67067,0.50932,1.18059,0.40186,0.34987,0.94243,0.95817,0.8895,0.95783,0.8869,0.003367,0.003367,0.003367
136,0.67025,0.51496,1.17639,0.4014,0.35224,0.9423,0.95432,0.8933,0.95726,0.88641,0.0033175,0.0033175,0.0033175
137,0.66911,0.51807,1.17714,0.40095,0.35083,0.94255,0.95318,0.89706,0.95656,0.88535,0.003268,0.003268,0.003268
138,0.66411,0.5128,1.17515,0.40163,0.35167,0.94348,0.94697,0.90126,0.95549,0.8844,0.0032185,0.0032185,0.0032185
139,0.66127,0.50335,1.1715,0.39996,0.34927,0.94209,0.94967,0.89839,0.95548,0.88553,0.003169,0.003169,0.003169
140,0.66273,0.50753,1.17399,0.39912,0.34891,0.94274,0.95675,0.89482,0.95522,0.88576,0.0031195,0.0031195,0.0031195
141,0.6606,0.50084,1.17335,0.39993,0.34913,0.94285,0.9562,0.89343,0.95649,0.88661,0.00307,0.00307,0.00307
142,0.65764,0.50012,1.17275,0.39779,0.3484,0.94091,0.95618,0.8971,0.95721,0.88693,0.0030205,0.0030205,0.0030205
143,0.65726,0.49639,1.16844,0.39731,0.34756,0.93974,0.95326,0.90154,0.95769,0.88834,0.002971,0.002971,0.002971
144,0.6506,0.49925,1.16306,0.39775,0.34711,0.94027,0.95468,0.90023,0.95794,0.88876,0.0029215,0.0029215,0.0029215
145,0.65287,0.49366,1.16611,0.39863,0.34538,0.94164,0.95029,0.90046,0.95869,0.8899,0.002872,0.002872,0.002872
