epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,45855.8,0.75922,0.63368,1.26545,0.95627,0.86923,0.95204,0.85544,0.4794,0.42411,0.98663,0.0064855,0.0064855,0.0064855
73,46787.3,0.76321,0.64095,1.26448,0.94686,0.88569,0.95227,0.85799,0.47318,0.42003,0.98784,0.006436,0.006436,0.006436
74,47727.7,0.76549,0.62868,1.26337,0.92828,0.88699,0.94861,0.85609,0.46711,0.42124,0.98486,0.0063865,0.0063865,0.0063865
75,48658.6,0.7547,0.62951,1.25549,0.94324,0.88825,0.95302,0.85966,0.46695,0.4167,0.98082,0.006337,0.006337,0.006337
76,49590.2,0.75801,0.63033,1.25832,0.94187,0.89247,0.95269,0.85985,0.46749,0.40701,0.9809,0.0062875,0.0062875,0.0062875
77,50523.7,0.75502,0.62015,1.26112,0.94682,0.88082,0.95386,0.86051,0.46384,0.40946,0.9802,0.006238,0.006238,0.006238
78,51456.5,0.75266,0.61867,1.25525,0.93557,0.88817,0.954,0.86347,0.46113,0.41212,0.97912,0.0061885,0.0061885,0.0061885
79,52390.9,0.75038,0.6213,1.2508,0.93595,0.89782,0.95386,0.86323,0.46442,0.40666,0.97142,0.006139,0.006139,0.006139
80,53326.5,0.75348,0.61961,1.25363,0.9353,0.88975,0.95291,0.86556,0.4549,0.41072,0.96825,0.0060895,0.0060895,0.0060895
81,54263.8,0.75509,0.61758,1.2516,0.94939,0.87922,0.95012,0.8597,0.46121,0.41638,0.96854,0.00604,0.00604,0.00604
82,55198,0.74166,0.61044,1.2458,0.9319,0.89787,0.95177,0.86168,0.47215,0.41149,0.97036,0.0059905,0.0059905,0.0059905
83,56134.1,0.74695,0.61089,1.25102,0.93896,0.89175,0.95343,0.86682,0.45586,0.41266,0.9696,0.005941,0.005941,0.005941
84,57071.3,0.74314,0.60422,1.25002,0.93449,0.89551,0.95417,0.868,0.45471,0.40975,0.96876,0.0058915,0.0058915,0.0058915
85,58010.7,0.73995,0.60274,1.24346,0.944,0.88309,0.95316,0.8675,0.45809,0.40553,0.97382,0.005842,0.005842,0.005842
86,58945.8,0.73907,0.60276,1.25077,0.92776,0.90752,0.95543,0.86911,0.44901,0.39608,0.96452,0.0057925,0.0057925,0.0057925
87,59883.7,0.74138,0.60804,1.24766,0.94253,0.89334,0.95288,0.86399,0.45953,0.40325,0.97055,0.005743,0.005743,0.005743
88,60819.7,0.73326,0.59498,1.23837,0.94076,0.89204,0.95483,0.86972,0.45238,0.39873,0.96621,0.0056935,0.0056935,0.0056935
89,61755.5,0.73574,0.59234,1.24234,0.92544,0.90708,0.95513,0.8683,0.45671,0.3981,0.96573,0.005644,0.005644,0.005644
90,62693.9,0.73241,0.59519,1.23596,0.94996,0.88368,0.95583,0.86478,0.45764,0.3955,0.97349,0.0055945,0.0055945,0.0055945
91,63632,0.73118,0.59355,1.23385,0.93973,0.89372,0.95441,0.86501,0.46312,0.4043,0.97633,0.005545,0.005545,0.005545
92,64567.5,0.73137,0.59565,1.2385,0.9506,0.88857,0.95474,0.86762,0.45616,0.40877,0.97109,0.0054955,0.0054955,0.0054955
93,65504.6,0.72825,0.58656,1.23728,0.95065,0.88462,0.95416,0.864,0.46674,0.40781,0.97473,0.005446,0.005446,0.005446
94,66442.6,0.72843,0.58984,1.23769,0.93994,0.88435,0.95602,0.86462,0.46844,0.40414,0.97417,0.0053965,0.0053965,0.0053965
95,67382,0.73054,0.58317,1.2326,0.92908,0.89894,0.95662,0.86019,0.48952,0.40469,0.97676,0.005347,0.005347,0.005347
96,68320,0.72817,0.58273,1.23322,0.94348,0.88249,0.95485,0.86218,0.48436,0.40758,0.9754,0.0052975,0.0052975,0.0052975
97,69256.8,0.72298,0.57359,1.22578,0.94866,0.88958,0.95632,0.86893,0.45698,0.39989,0.961,0.005248,0.005248,0.005248
98,70192.8,0.71458,0.58245,1.22231,0.93871,0.90464,0.95591,0.87065,0.45758,0.39123,0.95969,0.0051985,0.0051985,0.0051985
99,71129,0.71362,0.56925,1.22175,0.94376,0.89723,0.95509,0.86158,0.48255,0.39631,0.96984,0.005149,0.005149,0.005149
100,72068,0.70298,0.57022,1.21438,0.94348,0.90105,0.95649,0.86954,0.46541,0.39616,0.96557,0.0050995,0.0050995,0.0050995
101,73001.4,0.69085,0.57613,1.21178,0.93609,0.90424,0.95633,0.86919,0.46878,0.39652,0.96946,0.00505,0.00505,0.00505
102,73938.8,0.68048,0.57395,1.20644,0.94033,0.88703,0.95149,0.86782,0.46041,0.39602,0.96765,0.0050005,0.0050005,0.0050005
103,74777.2,0.66882,0.56107,1.19987,0.94348,0.89309,0.95434,0.87324,0.45529,0.3923,0.96947,0.004951,0.004951,0.004951
104,75388.3,0.67069,0.56562,1.19996,0.92065,0.91326,0.95411,0.87791,0.44497,0.39201,0.9642,0.0049015,0.0049015,0.0049015
105,76003.4,0.66788,0.56505,1.1955,0.9327,0.90338,0.95633,0.87571,0.44294,0.39248,0.96182,0.004852,0.004852,0.004852
106,76614.7,0.66186,0.55651,1.19538,0.94578,0.89328,0.95698,0.87722,0.44427,0.38887,0.96379,0.0048025,0.0048025,0.0048025
107,77226.1,0.64797,0.55262,1.18735,0.94288,0.89278,0.95505,0.87678,0.44019,0.38751,0.95992,0.004753,0.004753,0.004753
108,77837,0.65685,0.55455,1.19193,0.92824,0.90906,0.9567,0.87675,0.44009,0.38657,0.95908,0.0047035,0.0047035,0.0047035
109,78450.9,0.65498,0.54564,1.18979,0.93959,0.90031,0.95554,0.87692,0.43957,0.38414,0.95878,0.004654,0.004654,0.004654
110,79062.1,0.64866,0.54151,1.1818,0.93879,0.89263,0.95539,0.8755,0.43697,0.38031,0.95696,0.0046045,0.0046045,0.0046045
111,79675.8,0.64746,0.54444,1.18132,0.93956,0.89581,0.95633,0.87724,0.43723,0.37654,0.9582,0.004555,0.004555,0.004555
112,80295.5,0.64297,0.54088,1.17556,0.94302,0.89429,0.95695,0.87856,0.43586,0.37866,0.95654,0.0045055,0.0045055,0.0045055
113,80929.5,0.64057,0.54292,1.18003,0.94839,0.88901,0.95591,0.87713,0.4371,0.38002,0.95821,0.004456,0.004456,0.004456
114,81559.9,0.64258,0.53629,1.18321,0.94463,0.88883,0.95529,0.87901,0.44001,0.37981,0.96001,0.0044065,0.0044065,0.0044065
115,82184.3,0.63997,0.53892,1.1776,0.93385,0.89943,0.95469,0.87869,0.44071,0.383,0.96007,0.004357,0.004357,0.004357
116,82818.2,0.63336,0.53965,1.17626,0.929,0.90228,0.95404,0.87808,0.43821,0.38442,0.96039,0.0043075,0.0043075,0.0043075
117,83443.5,0.63517,0.53092,1.16943,0.93829,0.90032,0.95328,0.87715,0.4356,0.38274,0.96077,0.004258,0.004258,0.004258
118,84053.8,0.62499,0.52281,1.16431,0.94181,0.89465,0.9545,0.87793,0.43209,0.38663,0.9574,0.0042085,0.0042085,0.0042085
